date,open,high,low,close,adj_close,volume,year,month,day
2023-04-27,17.3799991607666,17.75,17.360000610351562,17.670000076293945,17.670000076293945,77590900,2023,4,27
2023-04-20,18.709999084472656,18.71999931335449,17.190000534057617,17.200000762939453,17.200000762939453,355891100,2023,4,20
2023-04-13,19.850000381469727,19.989999771118164,19.61000061035156,19.700000762939453,19.700000762939453,133700800,2023,4,13
2023-04-06,19.649999618530277,19.90999984741211,19.420000076293945,19.770000457763672,19.49353790283203,106184400,2023,4,6
2023-03-30,19.01000022888184,19.93000030517578,18.979999542236328,19.8799991607666,19.601999282836918,150850500,2023,3,30
2023-03-23,18.40999984741211,19.049999237060547,18.34000015258789,19.0,18.73430633544922,132362900,2023,3,23
2023-03-16,18.229999542236328,18.71999931335449,18.030000686645508,18.38999938964844,18.132835388183597,163226800,2023,3,16
2023-03-09,18.700000762939453,18.700000762939453,18.059999465942383,18.309999465942383,18.053955078125,163077200,2023,3,9
2023-03-02,18.530000686645508,18.959999084472656,18.18000030517578,18.61000061035156,18.349760055541992,131212700,2023,3,2
2023-02-23,19.420000076293945,19.57999992370605,18.559999465942383,18.65999984741211,18.399059295654297,134459700,2023,2,23
2023-02-16,19.040000915527344,19.51000022888184,18.93000030517578,19.3799991607666,19.108991622924805,118687700,2023,2,16
2023-02-09,19.209999084472656,19.350000381469727,18.82999992370605,19.25,18.980810165405277,129261400,2023,2,9
2023-02-02,20.100000381469727,20.489999771118164,19.020000457763672,19.15999984741211,18.89206886291504,163838100,2023,2,2
2023-01-26,20.270000457763672,20.5,19.809999465942383,20.18000030517578,19.897804260253903,198489300,2023,1,26
2023-01-19,18.93000030517578,21.530000686645508,18.700000762939453,20.420000076293945,20.134449005126957,217348800,2023,1,19
2023-01-12,19.479999542236328,19.59000015258789,18.96999931335449,19.020000457763672,18.754026412963867,134045100,2023,1,12
2023-01-05,19.13999938964844,19.790000915527344,18.959999084472656,19.40999984741211,18.86614418029785,181992900,2023,1,5
2022-12-29,18.270000457763672,19.3700008392334,18.21999931335449,19.13999938964844,18.603708267211918,136046100,2022,12,29
2022-12-22,18.010000228881836,18.549999237060547,17.920000076293945,18.21999931335449,17.70948600769043,114793900,2022,12,22
2022-12-15,18.63999938964844,18.809999465942383,17.639999389648438,18.149999618530277,17.641448974609375,269145700,2022,12,15
2022-12-08,19.43000030517578,19.520000457763672,18.76000022888184,18.899999618530277,18.370433807373047,205080000,2022,12,8
2022-12-01,19.290000915527344,19.420000076293945,18.690000534057617,19.299999237060547,18.759225845336918,185032200,2022,12,1
2022-11-24,19.170000076293945,19.290000915527344,18.75,19.280000686645508,18.73978805541992,124944300,2022,11,24
2022-11-17,18.709999084472656,19.1200008392334,18.520000457763672,19.09000015258789,18.555110931396484,157387500,2022,11,17
2022-11-10,18.82999992370605,19.38999938964844,18.57999992370605,18.93000030517578,18.39959526062012,217813400,2022,11,10
2022-11-03,18.170000076293945,18.729999542236328,18.06999969482422,18.3799991607666,17.86500358581543,205742100,2022,11,3
2022-10-27,18.350000381469727,18.799999237060547,17.989999771118164,18.43000030517578,17.913604736328125,254610100,2022,10,27
2022-10-20,16.209999084472656,18.239999771118164,16.1200008392334,18.13999938964844,17.631729125976562,391135700,2022,10,20
2022-10-13,14.489999771118164,15.760000228881836,14.460000038146973,15.539999961853027,15.104578971862791,248550100,2022,10,13
2022-10-06,15.640000343322754,15.8100004196167,14.619999885559082,14.630000114440918,13.971918106079102,246604500,2022,10,6
2022-09-29,15.670000076293944,16.18000030517578,15.34000015258789,15.93000030517578,15.213440895080566,259907800,2022,9,29
2022-09-22,16.260000228881836,16.3799991607666,15.579999923706056,15.829999923706056,15.117939949035645,214721400,2022,9,22
2022-09-15,16.829999923706055,16.920000076293945,16.25,16.25,15.519047737121582,217271600,2022,9,15
2022-09-08,16.860000610351562,17.399999618530273,16.700000762939453,16.770000457763672,16.015657424926758,231552100,2022,9,8
2022-09-01,17.489999771118164,17.670000076293945,16.68000030517578,16.8700008392334,16.111160278320312,179912000,2022,9,1
2022-08-25,18.049999237060547,18.100000381469727,17.510000228881836,17.540000915527344,16.751020431518555,160406500,2022,8,25
2022-08-18,18.26000022888184,18.530000686645508,17.860000610351562,18.010000228881836,17.199878692626953,150981800,2022,8,18
2022-08-11,18.059999465942383,18.700000762939453,18.010000228881836,18.420000076293945,17.5914363861084,153479900,2022,8,11
2022-08-04,18.309999465942383,18.40999984741211,17.989999771118164,18.010000228881836,17.199878692626953,188543700,2022,8,4
2022-07-28,18.299999237060547,18.8700008392334,18.290000915527344,18.3700008392334,17.543685913085938,198997200,2022,7,28
2022-07-21,19.040000915527344,19.1200008392334,18.18000030517578,18.38999938964844,17.562786102294922,310410800,2022,7,21
2022-07-14,20.1299991607666,20.86000061035156,20.049999237060547,20.479999542236328,19.55877494812012,128986700,2022,7,14
2022-07-07,21.170000076293945,21.31999969482422,20.229999542236328,20.450000762939453,19.273418426513672,124369200,2022,7,7
2022-06-30,20.790000915527344,21.38999938964844,20.75,21.09000015258789,19.876596450805664,135023700,2022,6,30
2022-06-23,20.43000030517578,21.059999465942383,20.07999992370605,20.950000762939453,19.74464988708496,185034900,2022,6,23
2022-06-16,19.280000686645508,20.549999237060547,18.670000076293945,20.31999969482422,19.15089607238769,261456900,2022,6,16
2022-06-09,21.020000457763672,21.15999984741211,19.18000030517578,19.440000534057617,18.3215274810791,196303300,2022,6,9
2022-06-02,21.26000022888184,21.26000022888184,20.770000457763672,21.049999237060547,19.83889579772949,122595600,2022,6,2
2022-05-26,21.3799991607666,21.530000686645508,20.96999931335449,21.21999931335449,19.99911499023437,160109300,2022,5,26
2022-05-19,19.920000076293945,21.3700008392334,19.90999984741211,21.299999237060547,20.07451057434082,225799600,2022,5,19
2022-05-12,19.399999618530277,20.670000076293945,19.38999938964844,20.229999542236328,19.066072463989254,213102500,2022,5,12
2022-05-05,19.739999771118164,20.11000061035156,19.239999771118164,19.43000030517578,18.31210327148437,251114100,2022,5,5
2022-04-28,19.25,19.979999542236328,18.809999465942383,19.950000762939453,18.80218505859375,328673500,2022,4,28
2022-04-21,19.68000030517578,20.350000381469727,18.989999771118164,19.06999969482422,17.972814559936523,339197700,2022,4,21
2022-04-14,19.31999969482422,19.63999938964844,19.209999084472656,19.43000030517578,18.31210327148437,213791200,2022,4,14
2022-04-07,18.05891227722168,20.1200008392334,17.779455184936523,19.420000076293945,18.04254913330078,462318502,2022,4,7
2022-03-31,18.126888275146484,18.27794647216797,17.666162490844727,18.149547576904297,16.86220932006836,263415626,2022,3,31
2022-03-24,17.55286979675293,18.24018096923828,17.492446899414062,18.232627868652344,16.939395904541016,216689150,2022,3,24
